contact,material_recovery_facility,rail_access,year,icon,notes,website,email,fax,phone,cartodb_id,operating_hours,pickup,number_of_employees,materials_accepted,materials_category,recycler_type,permit_number,company_name,county,address,longitude,latitude
Gerry Woodruff or Terry Dobson,,FALSE,2015,Processor,Corporate services include pick-up and roll-off containers. Must have valid ID for drop off. Does not accept monitors or TVs.,www.davisrecycling.com,sales@davisrecycling.com,404-591-2036,404-524-1746,66,"8-4:30 M-F, 8:30-12:30 Sa",Yes,8,"AC coils, aluminum cans, aluminum wheels, aluminum radiators, aluminum siding and gutters, aluminum wire/insulated, appliances, automobile and truck batteries (lead acid, casings cannot be cracked), auto parts (alternators, starters), ballasts, batteries (autos, trucks, forklifts, golf carts, data, etc.), bicycles, brass pipes, fittings, faucets, brass radiators, brass shells, car batteries, catalytic converters, communication wire (CAT 5, CAT 6, ethernet, twisted pair, data cable), compressors (dry), cookware, copper tubing, copper radiators, copper 1 and 2, copper wire, desktop computers, dishwashers, e-scrap (computers/flat monitors), electric motors, ferrous metals, game consoles, heavy steel, insulated copper wire 1 and 2, iron, LCD computer monitors, lead-acid batteries-non automotive, lead/range lead, lead cable, light fixtures, MP3 players, nickel-cadmium batteries, non-ferrous metals, pipe, scrap metal, small appliances, stainless steel, steel cans, transformers",Metal,"Collector, Processor",,Davis Recycling,Fulton,,-84.4100689,33.741906
Ben Chapman,,FALSE,2015,Processor,Pick-up available from retail stores only.,,drpadman@aol.com,912-727-2628,912-667-7992,67,8-5 M-F,Yes,1,"Nylon carpet, urethane carpet padding",Carpet,Collector ,,DC Foam,Bryan,,-81.268626,31.9017303
,,TRUE,2015,Processor,"Pick-up available for high volume customers only. Does not accept post-consumer materials, only post-industrial.",www.dixiepaper.com,,404-758-8765,404-758-4581,68,7:30-5 M-F,Yes,8,"Paper, newspaper, cardboard, mixed paper, magazines, other paper, office paper",Paper,"Processor, Broker",,Dixie Pulp & Paper,Fulton,,-84.406661,33.720866
Beverly Freeman,,FALSE,2015,Processor,,,,,770-535-2476,69,"7-4:30 M-F, 8-noon Sa",No,,Wood pallets,Wood,"Collector, Processor",,Dixieland Pallet ,Hall,,-83.784492,34.276024
Elizabeth McElhanon,,FALSE,2015,Processor,"Accepts clean, dry polystyrene egg cartons only. Purchases post-industrial polystyrene scrap. Offers drop-off and mail-in options for polystyrene egg cartons.",www.dolco.tekni-plex.com,dolco@tekni-plex.com,770-995-7982,770-963-6191,70,8-5 M-F,No,,"Foam polystyrene and PET food containers, clear plastic",Plastic,"Collector, Processor, End User",,Dolco Packaging Corp.,Gwinnett,,-83.972723,33.969326
Jim Dykes,,FALSE,2015,Processor,,www.dykespaving.com,,,770-448-3392,71,5:30-5:30 M-F,No,60,"C&D, asphalt, asphalt roofing shingles, concrete",C&D,Processor,,Dykes Materials Division,DeKalb,,-84.2434565,33.9310946
Mark Kamensky,,TRUE,2015,Processor,Variety of collection options available.,www.ejknightrecycling.com,ejknight@knology.net,706-323-4516,706-322-5435,72,7:45-4:30 M-F,Yes,30,"Metals, copper, brass, aluminum, stainless, aluminum cans, other scrap metal",Metal,"Collector, Processor",,"E.J. Knight Scrap Material Co., Inc.",Muscogee,,-84.978494,32.455075
,TRUE,,2015,Processor,Offers pick-up service for larger loads. Offers destruction services.,www.letusrecycle.com,,770-216-2025,770-217-7543,73,,,,"Plastic scrap processing in all forms including rolls, purging, pellets, regrind, lumps; acetal and acrylic; ABS Poly (Acrylonitrile Butadiene Styrene); ABS/PC and EVA; HDPE High Density Polyethylene; HMW High Molecular Weigh PE; LDPE Low Density Polyethylene; LLDPE Linear Low Density; Polyethylene & PP Polypropylene; PS Polystyrene; HIPS High Impact Polystyrene; PBT; PET Polyethylene Terephthalate; PETG; Nylon; PC Polycarbonate; PVC Polyvinyl Chloride; SAN; TPO Thermoplastic Polyolefin (often applied to elastomers); TPU Thermoplastic Polyurethene (often applied to elastomers); TPE; PPO Polyphenylene Oxide (aka Noryl); POM; mixed scrap like auto lights, etc.; old corrugated containers; mixed paper; old newspapers; high grade deinked paper; pulp substitutes; iron; steel; copper; aluminum; brass/bronze; alloy; tin; lead",Single-stream,"Collector, Processor",,"East Meets West, Inc.",Cobb,,-84.624253,33.831253
Andy Waddell,,FALSE,2015,Processor,,www.ebcobattery.com,info@ebcobattery.net,706-569-6774,706-563-8888,74,"8-6 M-F, 9-3 Sa",Yes,9,"Lead acid batteries, rechargeable cellphone batteries, camera batteries",Electronics,Collector,,Ebco Battery Co.,Muscogee,,-84.926204,32.5142979
,,FALSE,2015,Processor,Accepts most types of telecommunications equipment. Charges $25 for TVs.,www.ewmanagementllc.com,ewmanagement83@yahoo.com,770-648-7812,770-648-7612,75,9-5:30 M-F,Yes,5,"Computer equipment, office equipment, security equipment, medical equipment",Electronics,"Collector, Processor",,Electronics Waste Management,Rockdale,,-84.0507951,33.6826991
,,FALSE,2015,Processor,"Accepts any type of battery, including non-rechargeable alkaline and lead-acid automotive batteries",www.envirotechcorp.com,chris@envirotechcorp.com,,770-506-8292,77,8-5 M-F,Yes,12,"Computer equipment, office equipment, fluorescent lightbulbs, NiMH batteries, NiCd batteries, Li-ion batteries, alkaline batteries, lead-acid batteries, televisions, oil, antifreeze",Electronics,"Collector, Processor",,EnviroTech Environmental Services,Henry,,-84.237675,33.500146
Dewey Grantham,,,2015,Processor,,www.libertytire.com,,,706-602-0072,119,,,,Scrap tires,Scrap Tires,,,"Liberty Tire Recycling, LLC",Gordon,,-84.945857,34.47632
Kristi Eason,,FALSE,2015,Processor,,www.facebook.com/pages/ERG/282909155178391,eastonrecycling@gmail.com,912-375-3222,912-375-3222,79,8-5 M-F,No,2,"Ferrous metals, autos",Metal,"Collector, Processor, Broker",,"ERG (formerly North American Alloy & Recycling, LLC)",Jeff Davis,,-82.5877792,31.846579
Godwin Jaja,,FALSE,2015,Processor,"Accepts small amounts from individuals. Pick up available for larger loads. Charges $2 for computer monitors, $15 for TVs.",www.escrapx.com,info@escrapx.com,770-493-6692,770-493-6692,80,9-5:30 M-F,Yes,4,"Computer equipment, telecommunications equipment, household electronics",Electronics,"Collector, Processor, Broker",,E-ScrapX,DeKalb,,-84.198443,33.844764
Jerry Powell,,FALSE,2015,Processor,Accepts wood pallets for reconditioning and resale; scraps are ground for mulch. Provides pick up of used pallets.,,powell1@mindspring.com,770-725-0692,770-725-0592,81,"7-4 M-Th, 7-11:30 F",Yes,10,Wood pallets,Wood,"Collector, Processor",,Exclusive Pallet Service,Barrow,,-83.573814,33.953932
Al Keel,,FALSE,2015,Processor,Collects and processes motor oil. Resells as boiler fuel. ,www.farmeroil.com,al.keel@farmeroil.com,770-385-8169,770-385-8075,82,8-5 M-F,Yes,20,"Oil filters, motor oil, antifreeze, petroleum-contact water, oily rags, transmission fluid",Other,"Collector, Processor",,"Farmer Oil, Inc.",Newton,,-83.8829069,33.620991
William Weatherford,,FALSE,2015,Processor,Offers events for schools and public to bring materials. See full list at http://www.federalrecyclers.com/Writings.html,www.federalrecyclers.com,info@federalrecyclers.com,,770-591-0375,83,10-5 M-F,No,,"Computer equipment, electronics, ferrous metals, non-ferrous metals (including various aluminium products), televisions, monitors, paint  ",Electronics,"Collector, Processor",,Federal Recyclers,Cobb,,-84.5218127,34.0607699
Mike Martin,,FALSE,2015,Processor,,www.foamfabrictorsinc.com,mmartin@foamfabricatorsinc.com,706-367-9695,706-367-2616,84,8-5 M-F,No,,"Molded foam packaging, OEM components",Other,"Collector, Processor",,"Foam Fabricators, Inc.",Jackson,,-83.573453,34.096083
,TRUE,,2015,Processor,,,,,,85,,,,,Single-stream,,031-042P(MRF),Forest Park Transfer Station,Clayton,,-84.369485,33.607967
Tina Gann,,FALSE,2015,Processor,Drop-off only.,,,912-6290785,912-236-8514,86,"7:30-4:30 Tu-F, 7:30-1 Sa",No,4,"Aluminum cans, ferrous metals, non-ferrous metals, brass, copper",Metal,"Collector, Processor",,Fortjen Recycling Co.,Chatham,,-81.152857,32.052404
Joseph R. Hellinger,,FALSE,2015,Processor,,,gesinc@aol.com,770-968-3954,770-968-4098,87,8-5 M-F,Yes,10,"Waste oil, used filters, petroleum sludges, wastewater ",Other,"Collector, Processor",,Georgia Environmental Specialists,Clayton,,-84.333799,33.567216
Terry Kane,,FALSE,2015,Processor,"Materials are ground and screened for sale as mulch, fill dirt, top soil. ",,gamtn2000@yahoo.com,706-835-1654,706-835-2000,88,"8-5 M-F, 8-12 Sa",Yes,2,"Yard trimmings, pallets, land-clearing debris, drywall, concrete, shingles, rock, asphalt, lumber (unpainted and not pressure-treated)",C&D,"Collector, Processor",,Georgia Mountain Grinding,Union,,-84.0321386,34.8603862
,,FALSE,2015,Processor,,,,,404-768-1157,89,8-4:30,Yes,8,"Plastic pallets, wood pallets",Other,"Collector, Processor",,Georgia Pallet Operations,DeKalb,,-84.4579546,33.6379894
,,TRUE,2015,Processor,Accepts all ferrous and non-ferrous metals. One-ton minimum.,,georgiarecyclers.com,,912-232-8332,90,7-3 M-F,No,,"Metals, ferrous metals, steel cans, metal appliances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,Georgia Recyclers,Chatham,,-81.1150597,32.0959361
Bryan Linton,,TRUE,2015,Processor,,,gasouthernrecycling@gmail.com,229-546-4637,229-546-4970,91,"7:30-4 M-Th, 7-noon F",No,4,"Metals, ferrous metals, steel cans, metal appliances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,Georgia Southern Recycling,Laurens,,-82.8921807,32.4443295
Douglas Williams,,TRUE,2015,Processor,"Industrial board plants use a high percentage of by-products and residuals from other manufacturing processes, plus chips from in-woods chipping operations to meet their raw material requirements. Some of the fiber types used include: pine and hardwood shavings, pine and hardwood chips, pine sawdust, clean hogged softwood and plywood trim. Call for specific requirements.",www.gp.com/foryourbusiness/forestry/southeastern.html,,706-468-2610,706-468-8811,92,24 hours,No,,"Pine shavings, pine chips, plywood trim",Wood,"Collector, Processor",,Georgia-Pacific Panelboard,Jasper,,-83.7003636,33.2827626
Michael Fairman,,TRUE,2015,Processor,Call for pick-up details.,www.glynniron.com,,912-261-8583,912-265-4384,93,8-3:45 M-F,Yes,,"Ferrous and non-ferrous metals: copper, brass, aluminum, steel, iron, batteries, appliances, automobiles",Metal,"Collector, Processor",,Glynn Iron & Metal,Glynn,,-81.4914894,31.1499528
Bob Simpson or Kevin Sanders,,FALSE,2015,Processor,"Accepts all electronics in working/non-working condition, that run on a battery or plug into an electrical socket.",www.goldnwest-surplus.com,,770-482-5997,770-482-5995,94,,No,,"Computer equipment, televisions, cell phones",Electronics,"Collector, Processor",,"Gold'N West Surplus, Inc.",DeKalb,,-84.111223,33.719734
,TRUE,,2015,Processor,,,,,912-236-3011,95,,,,,Single-stream,,025-074P(MRF),"Green Acres C&D Recyclers, LLC",Chatham,,-81.121869,32.080719
,,FALSE,2015,Processor,"Residential customers receive source-separated recycling bins at no charge. Collection, transport and processing of plastics, paper, glass and cans and used cooking oil into reusable products and alternative fuel sources.",www.greaseforfuel.com,recycle@greengreaserecycling.com,888-635-0263,888-600-6548,96,8-5 M-F,Yes,100+,"Aluminum cans, cooking oil, grease, glass, paper, plastic ",Single-stream,"Collector, Processor",,"Green Grease Recycling, Inc.",Fulton,,-84.373353,33.764141
,,TRUE,2015,Processor,"Residential customers receive source-separated recycling bins at no charge. Collection, transport and processing of plastics, paper, glass and cans and used cooking oil into reusable products and alternative fuel sources.",www.greaseforfuel.com,recycle@greengreaserecycling.com,888-635-0263,888-600-6548,97,24 hours,Yes,100+,"Aluminum cans, cooking oil, grease, glass, paper, plastic ",Single-stream,"Collector, Processor",,"Green Grease Recycling, Inc.",DeKalb,,-84.1189584,33.738194
Jim Finch,,FALSE,2015,Processor,Primarily for large corporate customers. Charges fee for CRT monitors. Does not accept TVs. Call for pick-up details.  ,www.lordsnet.com,jim.finch@lordsnet.com,770-475-2546,770-475-8000,120,9-5 M-F,Yes,15,"Computer equipment, telecommunications equipment, servers, switches, hubs, routers",Electronics,"Collector, Processor, Broker",,Lord's Computer Group,Fulton,,-84.252263,34.136648
,TRUE,,2015,Processor,"Does not accept refrigerators, freezers, stoves, hot water heaters, air conditioners, washing machines, clothes dryers, microwaves",,,,770-233-4119,99,8-5 M-F,,,"Newspapers, magazines, phonebooks, catalogs, cardboard, office paper, plastic bottles, aluminum cans, metal cans, glass, plastic bags/wrap, computers, monitors, copiers, TVs, DVDs, VCRs, stereos, typewriters, printers, FAX and adding machines, cell phones, rechargeable batteries, furniture, mattresses, carpet and padding",Single-stream,,,Griffin Regional Recycling Center and Transfer Station,Spalding,,-84.29092,33.219802
Teri Joiner,,FALSE,2015,Processor,,www.harriscontainers.com,ecouncil@jimmyharristrucking.com,770-786-6384,770-786-3585,100,7-5 M-F,Yes,12,Construction and demolition debris,C&D,"Collector, Processor",,Harris Containers,Newton,,-83.878806,33.6098077
,,FALSE,2015,Processor,Does not accept gold or silver.,,,,706-453-9445,101,"8-5 M-F, 9-1 Sa",Yes,5,"Metals, ferrous metals, metal appliances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Broker",,HB & Sons,Greene,,-83.153784,33.58923
Gloria Kenure,,FALSE,2015,Processor,Pick up is limited to certain drop-off points around county. Call for details.,www.pinelandcsc.org,gkenure@pinelandcsc.org,912-489-2686,912-489-8711,102,8-5 M-F ,Yes,20,"Aluminum cans, newspaper, cardboard, office paper, magazines, books",Single-stream,"Collector, Processor",,High Hope Recycling,Bulloch,,-81.814506,32.486789
Debra Jenkins,,FALSE,2015,Processor,"Requirements for pick up may apply (e.g., size).",www.palletsbyifco.com,,404-622-2406,404-622-6060,103,8-5 M-F,Yes,90,"Wood pallets, plastic pallets",Other,"Collect, Processor, Broker",,IFCO Systems (formerly Bromley Pallet Recyclers),Fulton,,-84.3534931,33.6830787
Mike Thornton,,FALSE,2015,Processor,,www.imselectronics.com,,770-987-8994,770-776-4210,104,8-4:30 M-F,Yes,50,"Computer equipment, office materials, small household electronics",Electronics,"Collector, Processor",,"IMS Electronics Recycling, Inc.",DeKalb,,-84.176772,33.708784
Jim Stoyell,,FALSE,2015,Processor,"Accepts intermediate bulk containers (not food grade). Reconditions used, empty 30- and 55-gallon steel and platic drums and 275- and 330-gallon tanks.",www.iconserv.com,,770-228-8808,770-228-5500,105,8-5 M-F,Yes,15,"Plastic drums, metal drums",Other,"Collector, Processor",,Industrial Container Systems,Spalding,,-84.2636248,33.2603013
Marcus Maron,,FALSE,2015,Processor,Subscription hauling company collects most materials from commercial accounts. Dumpster-free recycling service.,www.insideoutrecycling.org,marcus@insideoutrecycling.org,,770-574-4531,106,,Yes,,"Steel cans, aluminum cans, paper, newspaper, cardboard, mixed paper, magazines, office paper, glass, PET, HDPE, phone books, PP, PVC, PS, batteries",Single-stream,Collector,,InsideOut Recycling,Gwinnett,,-83.9547694,34.058863
,,FALSE,2015,Processor,Single-stream facility.,www.irswaste.com,,,670-854-8169,107,9-5 M-F,Yes,,"Newspaper, corrugated boxes, cardboard, magazines, office paper, telephone books, shopping catalogs, aluminum cans, steel cans, plastic drink bottles, plastic milk jugs, washing detergent bottles, glass bottles, mail, grocery bags",Single-stream,"Collector, Processor",,Integrated Waste Solutions,Fulton,,-84.592894,33.548537
,,TRUE,2015,Processor,Accepts corrugated containers and recycles them to produce liner board.,www.interstatepaper.com,interstatepaper@interstateresources.com,912-884-3426,912-884-3371,108,8-4:30 M-F,No,,"Paper, cardboard",Paper,"Collector, Processor, End User",,"Interstate Paper, LLC",Liberty,,-81.4162817,31.7414161
,TRUE,,2015,Processor,In-closure,,,,,109,,,,,Single-stream,,081-010P(RM),Jefferson County - CR 138 MRF,Jefferson,,-82.41195556,32.10397222
Jim Finch,,FALSE,2015,Processor,"Asset management services available for data removal, serial number reporting and removal of asset tags. E-mail or call for pick up services.",,jim.finch@comcast.net,678-807-5260,404-697-3996,110,9-6 M-F,Yes,1,"Computer equipment, telephone equipment",Electronics,"Collector, Processor, Broker",,"JF Industries, LLC",Fulton,,-84.230311,34.083536
Hal Johnson,,FALSE,2015,Processor,Closes at noon on Wednesdays.,www.facebook.com/pages/Johnson-Auto-Salvage/345275594319,,,770-227-4244,111,"8:30-5:30 M-F, 8:30-2 Sa",Yes,,Autos,Other,"Collector, Processor",,Johnson Auto Salvage,Spalding,,-84.230279,33.190069
Louise Johnson,,FALSE,2015,Processor,,,johnsonrecycle@yahoo.com,478-374-0760,478-374-7331,112,8-5 M-F,Yes,5,"Metals, ferrous metals, steel cans, metal appliances, autos, non-ferrous metals, aluminum cans, newspaper, paper, cardboard",Single-stream,"Collector, Processor",,Johnson's Recycle,Dodge,,-83.2694955,32.202565
Polly Jones,,FALSE,2015,Processor,Pick up for vehicles only. Will provide roll-offs for metals from tear-downs.,,,706-367-4252,706-367-8632,113,"8-5 M-F, 8-noon Sa",Yes,10,"Autos, scrap metal, ferrous metal, non-ferrous metal",Metal,"Collector, Processor",,Jones Auto Salvage,Jackson,,-83.6546944,34.1023105
Al Curtis,,FALSE,2015,Processor,Fee charged to accept monitors.,,kclub@comcast.net,,678-300-7241,114,"1-3, 6-8 M-S",Yes,2,Computer equipment,Electronics,"Collector, Processor",,Kclub Electronics,Cobb,,-84.6728185,33.9020208
Brett Stallworth or Eric Sidewater,,TRUE,2015,Processor,Accepts post-consumer and post-Industrial. Picks up truckloads from suppliers.,www.nemoplastics.com,bstallworth@nemoplastics.com,770-534-0504,770-534-0505,138,24 hours,Yes,50,"HDPE, PP, PET, injection grade plastics, film plastic, aluminum, steel cans, OCC, polypropylene, polyethylene",Single-stream,"Collector, Processor, Broker",,"Nemo Plastics, Inc.",Hall,,-83.807314,34.260745
Jason Maddox,,FALSE,2015,Processor,,www.scrapmetalprocessor.com,smp1ox@aol.com,770-786-2880,770-786-5119,115,"8-5 M-F, 8-3 Sa",Yes,,"Metals, ferrous metals, steel cans, metal appliances, non-ferrous metals, aluminum cans, shred material, steel, iron, copper, aluminum, industrial scrap metal, tin, brass, scrap steel, cast iron, heavy machinery, heavy steel, old appliances, white goods, plate and structural steel, vehicles, metal stamping skeletons, insulated copper wire, alternators, starters, red and yellow brass, radiators, electric motors, aluminum scrap, sheet aluminum, rims, aluminum siding, plate aluminum, structural aluminum, cast aluminum, transmissions, steel turnings, motor blocks, stainless steel, gaylord boxes",Metal,"Collector, Processor",,L.B. Recycling & Waste Services,Newton,,-83.8795669,33.5811133
Tom Magerkurth,,FALSE,2015,Processor,Provides pick up for large volumes only. Call for details.,www.mwpallet.com,mwpallet@bellsouth.net,478-929-2115,478-929-2238,121,7-3 M-F,Yes,,"Wooden pallets, boxes and crates",Wood,"Collector, Processor, End User",,M&W Pallet Co.,Houston,,-83.59761,32.5595501
,,FALSE,2015,Processor,Manufactures PET fiber for carpet.,www.marglen.com,,,706-295-5621,122,,No,,PET,Plastic,"Processor, Broker",,"Marglen Industries, Inc.",Floyd,,-85.0828661,34.3190424
Tate Beavers,,FALSE,2015,Processor,Serves metro Atlanta area.,www.partsrequest.com,mas30067@comcast.net,770-422-8059,770-423-0198,123,"8-5 M-F, 8-2 S",Yes,5,Autos,Other,"Collector, Processor",,Marietta Auto Salvage,Cobb,,-84.5157307,33.9449094
Rob Fetaula,,FALSE,2015,Processor,,www.marketvelocity.com,customerservice@marketvelocity.com,770-925-9064,770-325-6300,124,9-5 M-F,No,,"Computer equipment, cell phones, digital cameras, servers (Intel and non-Intel based), large flat panel displays and monitors, network equipment, printers (dot matrix, laser, line, multi-function, plotter), projectors, storage devices, MP3, gaming systems, GPS",Electronics,"Collector, Processor",,"Market Velocity, Inc.",Gwinnett,,-83.9833599,34.0619825
,,FALSE,2015,Processor,"Drums must be in good condition, completely empty with all parts installed. Hours vary in the summer.",www.mcconnelldrumservice.com,mdsi@mindspring.com,770-458-0680,770-451-1100,126,8:30-4 M-F,Yes,3,"Plastic drums, steel drums",Other,"Collector, Processor",,"McConnell Drum Service, Inc.",DeKalb,,-84.284063,33.89952
,,FALSE,2015,Processor,Will pick up industrial loads of solvents and flammable materials. Call for details. ,www.mcfsystems.com,salesmcf@mcfsystems.com,770-593-9919,770-593-9434,127,8-5 M-F,Yes,28,"Hazardous and non-hazardous waste streams, including universal waste mercury bulbs, batteries and ballasts, used motor oil, mercury-containing items, e-scrap, paint, hazardous waste, dry cleaning waste",Other,"Collector, Processor",,"MCF Systems, Inc.",Clayton,,-84.310267,33.6362949
John Patterson,,FALSE,2015,Processor,"Prior to accepting spent batteries, a customer profile sheet must be completed.",www.metalconversion.com,info@metalconversion.com,678-560-8598,678-721-0022,128,8-4:30 M-F,Yes,14,Batteries,Other,"Collector, Processor",,"Metal Conversion Technologies, LLC",Bartow,,-84.8011864,34.1789646
,,TRUE,2015,Processor,,www.metroalloysinc.com,,404-753-5409,404-753-6063,129,8-4:30 M-F,Yes,76,"Ferrous metals, non-ferrous metals",Metal,"Collector, Processor",,"Metro Alloys, Inc.",Fulton,,-84.42587,33.695288
,TRUE,,2015,Processor,,www.mgrecycle.com,,770-326-6009,770-326-6000,130,"7-5 M-Th, 7-4 F",,,"Construction waste, demolition debris, asphalt, concrete, masonry, dirt, rock",C&D,"Collector, Processor",067-039P(MRF),"Metro Green, LLC",Gwinnett,,-84.24555,33.911142
Ray Hendricks or Becky Williams,,FALSE,2015,Processor,Refurbishes and sells most major brand printer and toner cartridges from individuals and large users. Call first for details.,www.metrolaser.com,info@metrolaser.com,770-938-1574,770-938-1500,131,"8-5 M-Th, 8-4 F",No,,"Ink cartridges, laser toner cartridges, other printer consumables",Electronics,"Collector, Processor",,Metro Laser,DeKalb,,-84.197298,33.848358
Jim Norris,,TRUE,2015,Processor,Repairs and recycles pallets.,,,478-472-6302,800-569-2408,132,7:30-3:30 M-F,Yes,7,Wood pallets,Wood,"Collector, Processor, End User",,Mid State Pallet,Macon,,-84.0250616,32.2848465
Larry McClesky,,FALSE,2015,Processor,Drop off location only.,,,404-696-5632,404-696-6964,133,8-5 M-F,No,4,"Aluminum cans, non-ferrous metals",Metal,"Collector, Processor",,Mid-South Supply,Cobb,,-84.600747,33.8155485
,,FALSE,2015,Processor,,,,,770-207-6586,134,"9-5 M-F, 9-noon Sa",No,4,"Metals, non-ferrous metals, aluminum cans, brass, copper, radiators",Metal,"Collector, Processor",,Monroe Metal Recyclers,Walton,,-83.7249643,33.7637786
John Morris,,TRUE,2015,Processor,,www.morrissalvage.webs.com,morrissalvage@bellsouth.net,912-526-6808,912-526-6875,135,"8-5:30 M-F, 8-11 Sa",Yes,8,"Metals, ferrous metals, non-ferrous metals, aluminum cans, metal appliances, autos, brass, copper",Metal,"Collector, Processor",,"Morris Salvage, Inc.",Toombs,,-82.2844494,32.1988122
Robert Little,,FALSE,2015,Processor,Accepts from businesses and individuals.,www.mveltd.com,info@mveltd.com,678-669-2121,678-963-0806,136,9-5 M-F,Yes,4,"Computer equipment, networking equipment",Electronics,"Collector, Processor",,"Multi Venture Equity, Ltd.",Barrow,,-83.775316,33.957795
Scott Smith,,TRUE,2015,Processor,Brokerage firm dealing in minimum 20-ton quantities. All material must be rolled or baled.,www.nationalfibersupply.com,scott.smith@nationalfibersupply.com,770-487-5659,770-487-2408,137,8-5 M-F,Yes,,"Newspaper, cardboard, mixed paper, office paper",Paper,Broker,,National Fiber Supply Co.,Fayette,,-84.483278,33.449649
Christiana Culberson,,TRUE,2015,Processor,"Accepts all metals including: stainless steel, appliances and tin, non-ferrous, ferrous, trailers, copper, alloys, cans, iron, cars.",www.newellrecycling.com,recyclers@newellrecycling.com,,706-432-3880,140,"9-4 M-F, 8-noon Sa",Yes,,"Metals, ferrous metals, applicances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,"Newell Recycling of Augusta, LLC",Richmond,,-81.983025,33.450537
Christiana Culberson,,TRUE,2015,Processor,"Accepts all metals including: stainless steel, appliances and tin, non-ferrous, ferrous, trailers, copper, alloys, cans, iron, cars.",www.newellrecycling.com,recyclers@newellrecycling.com,,706-324-1710,141,8-4 M-F,Yes,,"Metals, ferrous metals, applicances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,"Newell Recycling of Columbus, LLC",Muscogee,,-84.9473968,32.4545679
Christiana Culberson,,TRUE,2015,Processor,"Accepts all metals including: stainless steel, appliances and tin, non-ferrous, ferrous, trailers, copper, alloys, cans, iron, cars.",www.newellrecycling.com,recyclers@newellrecycling.com,,770-483-0840,142,8-4 M-F,Yes,,"Metals, ferrous metals, applicances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,"Newell Recycling of Conyers, LLC",Rockdale,,-83.97037,33.633806
Julian Powell,,FALSE,2015,Processor,Pick up by appointment. For details zentech.org/recycling.html.,www.zentech.org,recycle@zentech.org,,404-551-5174,256,,Yes,,"Computer equipment, televisions, cell phones, VCRs, stereo components",Electronics,"Collector, Processor, Broker",,Zentech Computer Recycling,Fulton,,-84.4105979,34.08301
Christiana Culberson,,FALSE,2015,Processor,"Accepts all metals including: stainless steel, appliances and tin, non-ferrous, ferrous, trailers, copper, alloys, cans, iron, cars.",www.newellrecycling.com,recyclers@newellrecycling.com,,770-942-9290,143,8-4; M-F; 8-Noon Sat.,Yes,,"Metals, ferrous metals, applicances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,"Newell Recycling of Douglas, LLC",Douglas,,-84.686797,33.792853
,TRUE,,2015,Processor,,,,,,161,,,,,Single-stream,,033-098P(MRF),Plant Atkinson Transfer Station MRF,Cobb,,-84.478214,33.8319
Christiana Culberson,,TRUE,2015,Processor,"Accepts all metals including: stainless steel, appliances and tin, non-ferrous, ferrous, trailers, copper, alloys, cans, iron, cars.",www.newellrecycling.com,recyclers@newellrecycling.com,,770-446-6883,144,"7-5 M-F, 8-noon Sa",Yes,,"Metals, ferrous metals, applicances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,"Newell Recycling of Gwinnett, LLC",Gwinnett,,-84.255056,33.925544
Christiana Culberson,,TRUE,2015,Processor,"Accepts all metals including: stainless steel, appliances and tin, non-ferrous, ferrous, trailers, copper, alloys, cans, iron, cars.",www.newellrecycling.com,recyclers@newellrecycling.com,,706-356-7040,145,"8-4 M-F, 8-11:30 Sa",Yes,,"Metals, ferrous metals, applicances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,"Newell Recycling of Lavonia, LLC",Franklin,,-83.1220244,34.3907507
Christiana Culberson,,TRUE,2015,Processor,"Accepts all metals including: stainless steel, appliances and tin, non-ferrous, ferrous, trailers, copper, alloys, cans, iron, cars.",www.newellrecycling.com,recyclers@newellrecycling.com,,478-781-8118,146,"8-4 M-F, 8-noon Sa",Yes,,"Metals, ferrous metals, applicances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,"Newell Recycling of Macon, LLC",Bibb,,-83.652987,32.782299
Christiana Culberson,,FALSE,2015,Processor,"Accepts all metals including: stainless steel, appliances and tin, non-ferrous, ferrous, trailers, copper, alloys, cans, iron, cars.",www.newellrecycling.com,recyclers@newellrecycling.com,,706-235-2530,147,"9-4:30 M-F, 9-12:30 Sa",Yes,,"Metals, ferrous metals, applicances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,"Newell Recycling of Rome, LLC",Floyd,,-85.1189813,34.2956505
Christiana Culberson,,TRUE,2015,Processor,"Accepts all metals including: stainless steel, appliances and tin, non-ferrous, ferrous, trailers, copper, alloys, cans, iron, cars.",www.newellrecycling.com,recyclers@newellrecycling.com,,912-395-8900,148,8-4:30 M-F,Yes,,"Metals, ferrous metals, applicances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,"Newell Recycling of Savannah, LLC",Chatham,,-81.1540013,32.1143715
